+--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+
| cust   | prod   |   month |   year |   day |   sum_1_quant |   max_1_quant |   sum_2_quant |   max_2_quant |
| Wally  | Jelly  |      11 |   2020 |    16 |           845 |           845 |           845 |           845 |
| Emily  | Cherry |       6 |   2017 |     4 |           703 |           703 |           703 |           703 |
| Chae   | Cherry |       2 |   2019 |    14 |           187 |           187 |           187 |           187 |
| Mia    | Ham    |      11 |   2019 |    11 |           690 |           690 |           690 |           690 |
| Sam    | Butter |       5 |   2016 |    16 |           539 |           539 |           539 |           539 |
| Mia    | Ice    |       4 |   2017 |    17 |           670 |           670 |           670 |           670 |
| Claire | Fish   |       1 |   2016 |     6 |          1000 |          1000 |          1000 |          1000 |
| Dan    | Cherry |       6 |   2018 |    14 |           790 |           790 |           790 |           790 |
| Boo    | Eggs   |       3 |   2018 |    11 |           867 |           867 |           867 |           867 |
| Emily  | Apple  |      12 |   2017 |    20 |           950 |           950 |           950 |           950 |
| Claire | Cherry |       3 |   2016 |     6 |           663 |           663 |           663 |           663 |
| Chae   | Ice    |       1 |   2020 |    14 |           784 |           784 |           784 |           784 |
| Chae   | Jelly  |      11 |   2016 |    14 |           694 |           694 |           694 |           694 |
| Emily  | Apple  |       9 |   2019 |     4 |           975 |           975 |           975 |           975 |
| Helen  | Butter |       4 |   2017 |     3 |           668 |           668 |           668 |           668 |
| Mia    | Eggs   |      10 |   2017 |    11 |           153 |           153 |           153 |           153 |
| Claire | Butter |       2 |   2019 |     9 |           413 |           413 |           413 |           413 |
| Sam    | Cherry |      11 |   2019 |    29 |           514 |           514 |           514 |           514 |
| Dan    | Ham    |       5 |   2020 |    12 |           992 |           992 |           992 |           992 |
| Claire | Ice    |       9 |   2020 |    15 |           763 |           763 |           763 |           763 |
| Dan    | Fish   |       8 |   2016 |    23 |           230 |           230 |           230 |           230 |
| Emily  | Dates  |       7 |   2018 |    11 |           816 |           816 |           816 |           816 |
| Wally  | Fish   |       1 |   2019 |     2 |           149 |           149 |           149 |           149 |
| Wally  | Eggs   |       6 |   2016 |    24 |           318 |           318 |           318 |           318 |
| Helen  | Jelly  |      12 |   2016 |    22 |           628 |           628 |           628 |           628 |
| Mia    | Fish   |      12 |   2016 |     3 |           258 |           258 |           258 |           258 |
| Helen  | Ham    |       9 |   2017 |    13 |           876 |           876 |           876 |           876 |
| Sam    | Grapes |      10 |   2017 |     4 |            69 |            69 |            69 |            69 |
| Mia    | Ham    |       4 |   2019 |     3 |           461 |           461 |           461 |           461 |
| Emily  | Apple  |       6 |   2016 |     7 |           984 |           984 |           984 |           984 |
| Wally  | Apple  |       3 |   2017 |    25 |           228 |           228 |           228 |           228 |
| Mia    | Butter |       7 |   2019 |    19 |           330 |           330 |           330 |           330 |
| Helen  | Cherry |       1 |   2018 |    28 |           992 |           992 |           992 |           992 |
| Claire | Apple  |       4 |   2019 |    18 |           469 |           469 |           469 |           469 |
| Chae   | Butter |      11 |   2020 |    27 |           909 |           909 |           909 |           909 |
| Sam    | Ham    |      10 |   2018 |    18 |            97 |            97 |            97 |            97 |
| Mia    | Jelly  |       5 |   2018 |    27 |           487 |           487 |           487 |           487 |
| Mia    | Cherry |      11 |   2018 |    23 |           882 |           882 |           882 |           882 |
| Helen  | Dates  |      12 |   2016 |     4 |           387 |           387 |           387 |           387 |
| Boo    | Cherry |       3 |   2019 |    20 |           264 |           264 |           264 |           264 |
| Claire | Eggs   |       6 |   2019 |    29 |           887 |           887 |           887 |           887 |
| Helen  | Dates  |       5 |   2019 |    15 |           282 |           282 |           282 |           282 |
| Sam    | Dates  |      11 |   2017 |    16 |           456 |           456 |           456 |           456 |
| Helen  | Cherry |       6 |   2018 |     2 |           200 |           200 |           200 |           200 |
| Claire | Eggs   |       7 |   2017 |    29 |           658 |           658 |           658 |           658 |
| Chae   | Cherry |      10 |   2017 |    20 |            60 |            60 |            60 |            60 |
| Dan    | Cherry |       7 |   2018 |    13 |           661 |           661 |           661 |           661 |
| Sam    | Apple  |       2 |   2018 |    24 |           754 |           754 |           754 |           754 |
| Boo    | Cherry |       6 |   2016 |    12 |           942 |           942 |           942 |           942 |
| Claire | Ham    |      12 |   2020 |     2 |            82 |            82 |            82 |            82 |
| Mia    | Dates  |       5 |   2016 |     2 |           703 |           510 |           703 |           510 |
| Emily  | Jelly  |       3 |   2016 |    29 |           348 |           348 |           348 |           348 |
| Emily  | Fish   |       8 |   2018 |    21 |           400 |           400 |           400 |           400 |
| Sam    | Ice    |       7 |   2019 |     2 |           297 |           297 |           297 |           297 |
| Sam    | Dates  |       8 |   2020 |     3 |           639 |           639 |           639 |           639 |
| Emily  | Dates  |       5 |   2019 |     9 |            39 |            39 |            39 |            39 |
| Emily  | Apple  |      12 |   2019 |    28 |           648 |           648 |           648 |           648 |
| Helen  | Jelly  |       7 |   2020 |    17 |           852 |           852 |           852 |           852 |
| Mia    | Ham    |       1 |   2020 |     1 |           496 |           496 |           496 |           496 |
| Chae   | Cherry |       2 |   2020 |     8 |           646 |           646 |           646 |           646 |
| Mia    | Grapes |       3 |   2017 |    23 |           658 |           658 |           658 |           658 |
| Wally  | Cherry |       6 |   2019 |     6 |           481 |           481 |           481 |           481 |
| Dan    | Ham    |       2 |   2017 |    23 |           136 |           136 |           136 |           136 |
| Boo    | Cherry |      12 |   2019 |     8 |           579 |           579 |           579 |           579 |
| Claire | Cherry |       7 |   2017 |    31 |           175 |           175 |           175 |           175 |
| Claire | Apple  |      12 |   2017 |     7 |           894 |           894 |           894 |           894 |
| Wally  | Ice    |      12 |   2016 |    22 |           835 |           835 |           835 |           835 |
| Chae   | Butter |       3 |   2020 |     7 |           525 |           525 |           525 |           525 |
| Mia    | Fish   |       4 |   2020 |    24 |           294 |           294 |           294 |           294 |
| Wally  | Jelly  |      11 |   2017 |    20 |           371 |           371 |           371 |           371 |
| Emily  | Dates  |      12 |   2017 |    17 |           437 |           437 |           437 |           437 |
| Claire | Apple  |      12 |   2020 |     4 |            92 |            92 |            92 |            92 |
| Sam    | Ham    |      12 |   2016 |    29 |           681 |           681 |           681 |           681 |
| Emily  | Butter |      10 |   2020 |     2 |           314 |           314 |           314 |           314 |
| Dan    | Jelly  |       9 |   2019 |    25 |           917 |           917 |           917 |           917 |
| Dan    | Grapes |       8 |   2018 |    15 |           434 |           434 |           434 |           434 |
| Dan    | Ice    |       2 |   2018 |    13 |           674 |           674 |           674 |           674 |
| Helen  | Ham    |      11 |   2016 |     2 |           464 |           403 |           464 |           403 |
| Chae   | Eggs   |       8 |   2019 |     3 |           940 |           940 |           940 |           940 |
| Mia    | Ice    |       5 |   2020 |    27 |           816 |           816 |           816 |           816 |
| Mia    | Apple  |      11 |   2020 |    11 |            55 |            55 |            55 |            55 |
| Sam    | Ice    |       8 |   2018 |    31 |           510 |           510 |           510 |           510 |
| Mia    | Eggs   |       1 |   2019 |    22 |           744 |           744 |           744 |           744 |
| Wally  | Fish   |       3 |   2017 |    10 |           641 |           641 |           641 |           641 |
| Emily  | Jelly  |       5 |   2019 |    11 |           909 |           909 |           909 |           909 |
| Wally  | Butter |      11 |   2016 |    12 |           470 |           470 |           470 |           470 |
| Claire | Cherry |       3 |   2019 |    30 |           392 |           392 |           392 |           392 |
| Emily  | Fish   |       1 |   2016 |    31 |           932 |           932 |           932 |           932 |
| Sam    | Jelly  |       4 |   2018 |    17 |           532 |           532 |           532 |           532 |
| Emily  | Cherry |       3 |   2016 |    22 |           335 |           335 |           335 |           335 |
| Wally  | Ham    |       9 |   2019 |    19 |           939 |           939 |           939 |           939 |
| Boo    | Cherry |       3 |   2018 |    19 |           816 |           816 |           816 |           816 |
| Chae   | Cherry |       2 |   2018 |    20 |           870 |           870 |           870 |           870 |
| Mia    | Ham    |       5 |   2020 |     7 |           506 |           506 |           506 |           506 |
| Chae   | Fish   |      10 |   2016 |    20 |            90 |            90 |            90 |            90 |
| Claire | Jelly  |      11 |   2016 |    29 |           750 |           750 |           750 |           750 |
| Mia    | Apple  |       8 |   2020 |    31 |            14 |            14 |            14 |            14 |
| Claire | Apple  |       6 |   2017 |    11 |            50 |            50 |            50 |            50 |
| Boo    | Eggs   |       3 |   2017 |     3 |           377 |           377 |           377 |           377 |
| Emily  | Ice    |       8 |   2016 |     8 |           898 |           898 |           898 |           898 |
| Helen  | Butter |      10 |   2020 |     6 |           806 |           806 |           806 |           806 |
| Boo    | Grapes |       4 |   2019 |    25 |           117 |           117 |           117 |           117 |
| Helen  | Apple  |       8 |   2019 |    31 |           811 |           811 |           811 |           811 |
| Wally  | Grapes |      11 |   2018 |    28 |           986 |           986 |           986 |           986 |
| Wally  | Ham    |      11 |   2019 |    21 |           133 |           133 |           133 |           133 |
| Dan    | Dates  |       5 |   2020 |    30 |           602 |           602 |           602 |           602 |
| Mia    | Cherry |       9 |   2016 |    12 |           721 |           721 |           721 |           721 |
| Chae   | Apple  |      12 |   2019 |    26 |           711 |           711 |           711 |           711 |
| Sam    | Fish   |      11 |   2018 |    16 |            79 |            79 |            79 |            79 |
| Sam    | Ice    |       4 |   2019 |    14 |           993 |           993 |           993 |           993 |
| Boo    | Eggs   |       5 |   2018 |    24 |          1194 |           823 |          1194 |           823 |
| Claire | Dates  |       7 |   2016 |    22 |           928 |           928 |           928 |           928 |
| Emily  | Cherry |      10 |   2019 |    22 |           771 |           771 |           771 |           771 |
| Wally  | Ham    |       3 |   2020 |    28 |            27 |            27 |            27 |            27 |
| Mia    | Eggs   |       4 |   2017 |    22 |           831 |           599 |           831 |           599 |
| Wally  | Eggs   |      12 |   2016 |    10 |           382 |           382 |           382 |           382 |
| Claire | Cherry |       5 |   2020 |    12 |            24 |            24 |            24 |            24 |
| Helen  | Ham    |       5 |   2016 |    18 |           936 |           936 |           936 |           936 |
| Dan    | Ice    |       5 |   2018 |    18 |            21 |            21 |            21 |            21 |
| Helen  | Cherry |       9 |   2020 |     7 |           332 |           332 |           332 |           332 |
| Dan    | Apple  |       6 |   2016 |    29 |           603 |           603 |           603 |           603 |
| Sam    | Jelly  |       9 |   2018 |    20 |           938 |           938 |           938 |           938 |
| Dan    | Cherry |       1 |   2019 |    19 |           525 |           525 |           525 |           525 |
| Dan    | Dates  |      11 |   2017 |     8 |           901 |           901 |           901 |           901 |
| Chae   | Ice    |       2 |   2016 |     9 |           972 |           972 |           972 |           972 |
| Wally  | Grapes |       4 |   2018 |    26 |           554 |           554 |           554 |           554 |
| Claire | Cherry |       5 |   2017 |    11 |           101 |           101 |           101 |           101 |
| Mia    | Eggs   |       3 |   2017 |    11 |           428 |           428 |           428 |           428 |
| Wally  | Ham    |       9 |   2017 |    14 |           165 |           165 |           165 |           165 |
| Emily  | Apple  |       3 |   2017 |    29 |           407 |           407 |           407 |           407 |
| Dan    | Fish   |       7 |   2016 |    22 |           803 |           803 |           803 |           803 |
| Boo    | Fish   |      10 |   2019 |     5 |           479 |           479 |           479 |           479 |
| Claire | Grapes |       8 |   2019 |    21 |           860 |           860 |           860 |           860 |
| Helen  | Ham    |      12 |   2020 |    28 |           260 |           260 |           260 |           260 |
| Boo    | Grapes |      10 |   2019 |    28 |           277 |           277 |           277 |           277 |
| Emily  | Jelly  |       8 |   2018 |     6 |           101 |           101 |           101 |           101 |
| Wally  | Jelly  |      12 |   2017 |    12 |           702 |           702 |           702 |           702 |
| Emily  | Cherry |       1 |   2020 |     5 |           598 |           598 |           598 |           598 |
| Emily  | Apple  |      10 |   2016 |    12 |           957 |           957 |           957 |           957 |
| Chae   | Ice    |       5 |   2016 |    29 |           366 |           366 |           366 |           366 |
| Sam    | Eggs   |       4 |   2018 |     7 |           992 |           992 |           992 |           992 |
| Sam    | Dates  |      10 |   2019 |    18 |           328 |           328 |           328 |           328 |
| Wally  | Ham    |       7 |   2019 |    26 |           441 |           441 |           441 |           441 |
| Chae   | Ham    |       7 |   2018 |     8 |           977 |           977 |           977 |           977 |
| Boo    | Dates  |       5 |   2016 |    30 |           119 |           119 |           119 |           119 |
| Mia    | Jelly  |       5 |   2018 |    26 |           985 |           985 |           985 |           985 |
| Claire | Ice    |       4 |   2020 |     6 |           801 |           801 |           801 |           801 |
| Mia    | Eggs   |       9 |   2017 |    20 |           879 |           879 |           879 |           879 |
| Boo    | Jelly  |       3 |   2020 |    14 |           778 |           778 |           778 |           778 |
| Sam    | Fish   |       2 |   2017 |    26 |           140 |           140 |           140 |           140 |
| Helen  | Ham    |      11 |   2017 |    29 |           815 |           815 |           815 |           815 |
| Boo    | Apple  |      10 |   2018 |    18 |           318 |           318 |           318 |           318 |
| Claire | Fish   |       2 |   2016 |     2 |           338 |           338 |           338 |           338 |
| Chae   | Grapes |       5 |   2016 |    25 |           997 |           997 |           997 |           997 |
| Wally  | Apple  |      12 |   2019 |    10 |           526 |           526 |           526 |           526 |
| Claire | Ice    |       9 |   2017 |    28 |           352 |           352 |           352 |           352 |
| Dan    | Grapes |      10 |   2016 |     6 |           679 |           679 |           679 |           679 |
| Claire | Cherry |       6 |   2016 |    29 |           713 |           713 |           713 |           713 |
| Chae   | Dates  |       1 |   2018 |    25 |           418 |           418 |           418 |           418 |
| Sam    | Apple  |       5 |   2016 |     3 |           705 |           705 |           705 |           705 |
| Helen  | Fish   |       8 |   2017 |    23 |            89 |            89 |            89 |            89 |
| Sam    | Ham    |       3 |   2017 |    28 |           907 |           907 |           907 |           907 |
| Mia    | Apple  |      10 |   2016 |    29 |           543 |           543 |           543 |           543 |
| Helen  | Butter |       4 |   2016 |    26 |           836 |           630 |           836 |           630 |
| Mia    | Eggs   |      12 |   2019 |    22 |            83 |            83 |            83 |            83 |
| Claire | Ham    |       8 |   2020 |     1 |           623 |           623 |           623 |           623 |
| Emily  | Cherry |       2 |   2017 |    18 |           601 |           601 |           601 |           601 |
| Boo    | Grapes |       8 |   2017 |    25 |           868 |           868 |           868 |           868 |
| Sam    | Eggs   |      12 |   2016 |     4 |           661 |           661 |           661 |           661 |
| Chae   | Ice    |       7 |   2017 |    28 |           609 |           447 |           609 |           447 |
| Dan    | Apple  |      12 |   2016 |    16 |           473 |           473 |           473 |           473 |
| Boo    | Fish   |       4 |   2017 |    29 |           773 |           773 |           773 |           773 |
| Dan    | Jelly  |       6 |   2018 |    26 |           532 |           532 |           532 |           532 |
| Claire | Cherry |       5 |   2017 |     3 |           407 |           407 |           407 |           407 |
| Helen  | Ice    |       7 |   2019 |     9 |           780 |           780 |           780 |           780 |
| Claire | Dates  |       5 |   2019 |     4 |           549 |           549 |           549 |           549 |
| Boo    | Jelly  |       2 |   2020 |    22 |           287 |           287 |           287 |           287 |
| Mia    | Apple  |       8 |   2018 |    11 |           850 |           850 |           850 |           850 |
| Chae   | Dates  |       8 |   2019 |     1 |           192 |           192 |           192 |           192 |
| Mia    | Ice    |       8 |   2019 |     8 |           465 |           465 |           465 |           465 |
| Emily  | Eggs   |       8 |   2017 |    18 |           426 |           426 |           426 |           426 |
| Helen  | Eggs   |       2 |   2020 |    10 |           853 |           853 |           853 |           853 |
| Dan    | Eggs   |       3 |   2019 |    12 |           165 |           165 |           165 |           165 |
| Emily  | Apple  |      11 |   2019 |     2 |            75 |            75 |            75 |            75 |
| Helen  | Ham    |       2 |   2017 |    19 |           446 |           446 |           446 |           446 |
| Wally  | Jelly  |      10 |   2017 |    29 |           946 |           946 |           946 |           946 |
| Helen  | Butter |      10 |   2018 |     8 |            12 |            12 |            12 |            12 |
| Claire | Cherry |       3 |   2018 |     1 |           335 |           335 |           335 |           335 |
| Sam    | Eggs   |      12 |   2019 |    30 |           432 |           432 |           432 |           432 |
| Sam    | Butter |      11 |   2016 |    28 |           134 |           134 |           134 |           134 |
| Chae   | Dates  |       6 |   2019 |    25 |             2 |             2 |             2 |             2 |
| Chae   | Fish   |      12 |   2017 |     8 |            32 |            32 |            32 |            32 |
| Sam    | Dates  |       9 |   2017 |    28 |           878 |           878 |           878 |           878 |
| Sam    | Eggs   |       3 |   2018 |    22 |           570 |           570 |           570 |           570 |
| Chae   | Butter |       2 |   2016 |     9 |           943 |           943 |           943 |           943 |
| Wally  | Cherry |       5 |   2016 |    19 |           831 |           831 |           831 |           831 |
| Wally  | Apple  |       2 |   2019 |    24 |           103 |           103 |           103 |           103 |
| Claire | Fish   |       8 |   2016 |     4 |           507 |           507 |           507 |           507 |
| Wally  | Ice    |       6 |   2016 |    10 |           237 |           237 |           237 |           237 |
| Chae   | Jelly  |      10 |   2018 |     9 |            73 |            73 |            73 |            73 |
| Mia    | Fish   |       5 |   2020 |    19 |           768 |           768 |           768 |           768 |
| Claire | Dates  |       5 |   2017 |    16 |           284 |           284 |           284 |           284 |
| Claire | Ham    |       9 |   2020 |    15 |           753 |           753 |           753 |           753 |
| Mia    | Fish   |       9 |   2016 |     6 |           887 |           887 |           887 |           887 |
| Chae   | Cherry |      11 |   2016 |    30 |           192 |           192 |           192 |           192 |
| Helen  | Ham    |      11 |   2016 |    22 |           421 |           421 |           421 |           421 |
| Emily  | Cherry |       3 |   2019 |    24 |           670 |           327 |           670 |           327 |
| Sam    | Apple  |       3 |   2016 |    21 |           479 |           479 |           479 |           479 |
| Emily  | Fish   |      11 |   2020 |    28 |           720 |           720 |           720 |           720 |
| Wally  | Apple  |       7 |   2020 |    10 |           478 |           478 |           478 |           478 |
| Emily  | Ham    |      11 |   2020 |     1 |           443 |           443 |           443 |           443 |
| Wally  | Grapes |       1 |   2016 |     1 |          1105 |           797 |          1105 |           797 |
| Dan    | Fish   |       7 |   2020 |    13 |           602 |           602 |           602 |           602 |
| Chae   | Apple  |       7 |   2018 |    10 |           180 |           180 |           180 |           180 |
| Boo    | Fish   |       8 |   2020 |    31 |           580 |           580 |           580 |           580 |
| Wally  | Ice    |       8 |   2018 |    25 |           867 |           867 |           867 |           867 |
| Helen  | Eggs   |      11 |   2019 |     7 |           831 |           831 |           831 |           831 |
| Helen  | Ham    |       6 |   2016 |     8 |           105 |           105 |           105 |           105 |
| Dan    | Butter |       2 |   2017 |    11 |           614 |           614 |           614 |           614 |
| Chae   | Cherry |       1 |   2018 |     3 |           682 |           682 |           682 |           682 |
| Sam    | Dates  |       6 |   2016 |    29 |           582 |           582 |           582 |           582 |
| Boo    | Grapes |       7 |   2016 |    27 |           179 |           179 |           179 |           179 |
| Chae   | Dates  |      11 |   2019 |    19 |           969 |           969 |           969 |           969 |
| Helen  | Cherry |       7 |   2016 |    16 |           429 |           429 |           429 |           429 |
| Mia    | Jelly  |       9 |   2020 |    26 |           247 |           247 |           247 |           247 |
| Sam    | Ham    |      10 |   2020 |    22 |           598 |           598 |           598 |           598 |
| Mia    | Cherry |      12 |   2018 |     5 |           532 |           532 |           532 |           532 |
| Chae   | Dates  |      10 |   2018 |    18 |           758 |           758 |           758 |           758 |
| Dan    | Ice    |       5 |   2020 |     9 |           277 |           277 |           277 |           277 |
| Chae   | Butter |       2 |   2018 |    20 |           229 |           229 |           229 |           229 |
| Wally  | Grapes |       3 |   2019 |    11 |           686 |           686 |           686 |           686 |
| Sam    | Jelly  |       8 |   2018 |     5 |           889 |           889 |           889 |           889 |
| Helen  | Grapes |      12 |   2020 |     9 |           298 |           298 |           298 |           298 |
| Emily  | Apple  |       8 |   2018 |    19 |           863 |           863 |           863 |           863 |
| Boo    | Ham    |       1 |   2017 |    17 |           278 |           278 |           278 |           278 |
| Helen  | Fish   |       6 |   2020 |    16 |           731 |           731 |           731 |           731 |
| Chae   | Eggs   |      10 |   2020 |    23 |           987 |           987 |           987 |           987 |
| Sam    | Fish   |      11 |   2017 |     8 |           667 |           667 |           667 |           667 |
| Mia    | Butter |      12 |   2019 |    19 |           401 |           401 |           401 |           401 |
| Claire | Ice    |      10 |   2018 |    30 |           688 |           688 |           688 |           688 |
| Chae   | Eggs   |       6 |   2017 |    10 |           838 |           838 |           838 |           838 |
| Wally  | Eggs   |      11 |   2020 |    13 |           244 |           244 |           244 |           244 |
| Mia    | Eggs   |       9 |   2018 |     4 |           631 |           631 |           631 |           631 |
| Wally  | Dates  |       1 |   2016 |    31 |           678 |           678 |           678 |           678 |
| Helen  | Cherry |      10 |   2018 |    14 |           413 |           413 |           413 |           413 |
| Boo    | Cherry |       1 |   2019 |     7 |           341 |           341 |           341 |           341 |
| Mia    | Ham    |       5 |   2019 |    31 |           396 |           396 |           396 |           396 |
| Mia    | Dates  |       3 |   2016 |    16 |           117 |           117 |           117 |           117 |
| Helen  | Ham    |       8 |   2017 |    26 |           272 |           272 |           272 |           272 |
| Emily  | Dates  |       3 |   2020 |    21 |            54 |            54 |            54 |            54 |
| Emily  | Apple  |      12 |   2017 |    21 |           662 |           662 |           662 |           662 |
| Wally  | Fish   |      12 |   2016 |    13 |           280 |           280 |           280 |           280 |
| Helen  | Cherry |       2 |   2018 |     1 |           613 |           613 |           613 |           613 |
| Emily  | Eggs   |       4 |   2018 |    14 |           557 |           557 |           557 |           557 |
| Emily  | Dates  |      12 |   2020 |    10 |            22 |            22 |            22 |            22 |
| Boo    | Eggs   |       2 |   2018 |     7 |           150 |           150 |           150 |           150 |
| Claire | Ham    |       4 |   2019 |    23 |            78 |            78 |            78 |            78 |
| Emily  | Fish   |       2 |   2019 |    13 |           695 |           695 |           695 |           695 |
| Chae   | Eggs   |      10 |   2016 |    12 |           822 |           822 |           822 |           822 |
| Claire | Dates  |      12 |   2020 |    19 |           723 |           723 |           723 |           723 |
| Boo    | Eggs   |      10 |   2016 |    10 |           721 |           721 |           721 |           721 |
| Boo    | Jelly  |       4 |   2020 |    28 |            49 |            49 |            49 |            49 |
| Mia    | Dates  |       8 |   2020 |    21 |           628 |           628 |           628 |           628 |
| Dan    | Cherry |       1 |   2016 |    29 |           866 |           866 |           866 |           866 |
| Wally  | Grapes |      11 |   2020 |    23 |           920 |           920 |           920 |           920 |
| Emily  | Dates  |      11 |   2019 |    26 |          1746 |           874 |          1746 |           874 |
| Emily  | Eggs   |       6 |   2017 |    16 |           187 |           187 |           187 |           187 |
| Boo    | Cherry |       9 |   2020 |     5 |           302 |           302 |           302 |           302 |
| Helen  | Jelly  |       7 |   2018 |    11 |           989 |           989 |           989 |           989 |
| Emily  | Ham    |       3 |   2018 |    24 |           860 |           860 |           860 |           860 |
| Wally  | Dates  |       2 |   2016 |    22 |           553 |           553 |           553 |           553 |
| Sam    | Apple  |       9 |   2016 |    30 |           916 |           916 |           916 |           916 |
| Dan    | Ice    |       9 |   2017 |    16 |          1174 |           861 |          1174 |           861 |
| Mia    | Eggs   |       3 |   2017 |    27 |           210 |           210 |           210 |           210 |
| Emily  | Grapes |      11 |   2019 |    18 |           385 |           385 |           385 |           385 |
| Chae   | Grapes |       8 |   2018 |    14 |           385 |           385 |           385 |           385 |
| Mia    | Apple  |       6 |   2020 |     5 |           846 |           846 |           846 |           846 |
| Mia    | Grapes |       1 |   2017 |    10 |           477 |           477 |           477 |           477 |
| Boo    | Fish   |       5 |   2016 |    13 |           237 |           237 |           237 |           237 |
| Mia    | Ham    |      10 |   2019 |     7 |           745 |           745 |           745 |           745 |
| Chae   | Fish   |       2 |   2020 |    26 |          1184 |           838 |          1184 |           838 |
| Mia    | Dates  |      11 |   2018 |    13 |           176 |           176 |           176 |           176 |
| Boo    | Jelly  |      12 |   2017 |    18 |           211 |           211 |           211 |           211 |
| Chae   | Ice    |       4 |   2016 |    19 |           788 |           788 |           788 |           788 |
| Mia    | Ham    |       4 |   2020 |     5 |           822 |           822 |           822 |           822 |
| Chae   | Eggs   |       4 |   2018 |     7 |          1367 |           890 |          1367 |           890 |
| Mia    | Eggs   |       4 |   2016 |    12 |           194 |           194 |           194 |           194 |
| Chae   | Fish   |       6 |   2017 |     8 |           639 |           639 |           639 |           639 |
| Chae   | Eggs   |       3 |   2017 |     6 |           725 |           725 |           725 |           725 |
| Helen  | Ham    |       1 |   2018 |    24 |           128 |           128 |           128 |           128 |
| Boo    | Cherry |      12 |   2020 |    14 |           366 |           366 |           366 |           366 |
| Wally  | Grapes |      12 |   2020 |    16 |           164 |           164 |           164 |           164 |
| Helen  | Dates  |      12 |   2020 |     3 |           937 |           937 |           937 |           937 |
| Mia    | Eggs   |       8 |   2017 |     2 |            42 |            42 |            42 |            42 |
| Emily  | Cherry |      10 |   2020 |     9 |           325 |           325 |           325 |           325 |
| Claire | Dates  |       6 |   2018 |    19 |            30 |            30 |            30 |            30 |
| Mia    | Ice    |       4 |   2016 |    28 |           769 |           769 |           769 |           769 |
| Wally  | Butter |       3 |   2018 |     7 |           205 |           205 |           205 |           205 |
| Mia    | Jelly  |      10 |   2016 |    18 |           786 |           786 |           786 |           786 |
| Wally  | Jelly  |      12 |   2018 |    30 |           848 |           848 |           848 |           848 |
| Dan    | Grapes |       4 |   2019 |    24 |             6 |             6 |             6 |             6 |
| Boo    | Ice    |      10 |   2017 |    11 |           522 |           522 |           522 |           522 |
| Wally  | Fish   |       3 |   2019 |    12 |           451 |           451 |           451 |           451 |
| Helen  | Fish   |      11 |   2020 |    23 |           667 |           667 |           667 |           667 |
| Sam    | Dates  |       6 |   2020 |    23 |           971 |           971 |           971 |           971 |
| Dan    | Dates  |       6 |   2020 |     8 |           544 |           544 |           544 |           544 |
| Dan    | Butter |       2 |   2018 |     7 |           502 |           502 |           502 |           502 |
| Helen  | Jelly  |       2 |   2016 |    23 |           525 |           525 |           525 |           525 |
| Sam    | Dates  |       7 |   2019 |    28 |           189 |           189 |           189 |           189 |
| Claire | Butter |       7 |   2019 |    31 |           719 |           719 |           719 |           719 |
| Dan    | Eggs   |       3 |   2020 |    15 |           955 |           955 |           955 |           955 |
| Helen  | Jelly  |       2 |   2020 |     2 |           733 |           733 |           733 |           733 |
| Claire | Ice    |       2 |   2017 |    26 |           860 |           860 |           860 |           860 |
| Emily  | Fish   |       2 |   2018 |     8 |          1712 |           926 |          1712 |           926 |
| Wally  | Butter |      10 |   2016 |    20 |           684 |           684 |           684 |           684 |
| Chae   | Cherry |       5 |   2019 |    14 |           458 |           458 |           458 |           458 |
| Sam    | Cherry |       2 |   2020 |    17 |           119 |           119 |           119 |           119 |
| Claire | Grapes |       1 |   2016 |    18 |           377 |           377 |           377 |           377 |
| Wally  | Apple  |       5 |   2017 |    18 |           526 |           526 |           526 |           526 |
| Dan    | Butter |       2 |   2018 |    21 |            26 |            26 |            26 |            26 |
| Mia    | Butter |       1 |   2019 |    24 |           370 |           370 |           370 |           370 |
| Mia    | Cherry |       1 |   2016 |    29 |           813 |           813 |           813 |           813 |
| Sam    | Ham    |       4 |   2016 |    16 |           287 |           287 |           287 |           287 |
| Emily  | Dates  |       1 |   2018 |     5 |           512 |           512 |           512 |           512 |
| Chae   | Dates  |       1 |   2016 |    27 |           587 |           587 |           587 |           587 |
| Boo    | Cherry |      10 |   2020 |    13 |           688 |           688 |           688 |           688 |
| Helen  | Dates  |       9 |   2020 |    25 |           628 |           628 |           628 |           628 |
| Chae   | Cherry |      11 |   2020 |    29 |           395 |           395 |           395 |           395 |
| Claire | Eggs   |       9 |   2020 |    15 |           643 |           643 |           643 |           643 |
| Claire | Grapes |       2 |   2016 |    11 |           472 |           472 |           472 |           472 |
| Wally  | Fish   |       5 |   2017 |    13 |           293 |           293 |           293 |           293 |
| Boo    | Eggs   |       9 |   2017 |     4 |           851 |           851 |           851 |           851 |
| Claire | Apple  |       4 |   2020 |    23 |            62 |            62 |            62 |            62 |
| Dan    | Jelly  |      11 |   2016 |     3 |           959 |           959 |           959 |           959 |
| Claire | Jelly  |      11 |   2019 |    22 |           570 |           570 |           570 |           570 |
| Boo    | Jelly  |       2 |   2018 |    20 |           498 |           498 |           498 |           498 |
| Emily  | Cherry |       5 |   2016 |    11 |           708 |           708 |           708 |           708 |
| Wally  | Cherry |      12 |   2016 |    23 |           828 |           828 |           828 |           828 |
