+--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+-----------------+-----------------+
| cust   | prod   |   month |   year |   day |   sum_1_quant |   max_1_quant |   sum_2_quant |   max_2_quant |   count_1_quant |   count_2_quant |
| Chae   | Grapes |       5 |   2017 |    21 |           978 |           978 |           978 |           978 |               1 |               1 |
| Mia    | Eggs   |       1 |   2016 |    18 |           888 |           888 |           888 |           888 |               1 |               1 |
| Sam    | Butter |       6 |   2020 |    25 |           204 |           204 |           204 |           204 |               1 |               1 |
| Chae   | Cherry |       6 |   2020 |     4 |           440 |           440 |           440 |           440 |               1 |               1 |
| Mia    | Grapes |       9 |   2016 |     3 |           821 |           821 |           821 |           821 |               1 |               1 |
| Claire | Eggs   |       9 |   2017 |    12 |           279 |           279 |           279 |           279 |               1 |               1 |
| Emily  | Eggs   |       2 |   2018 |     9 |           672 |           672 |           672 |           672 |               1 |               1 |
| Helen  | Eggs   |       4 |   2017 |    13 |           946 |           946 |           946 |           946 |               1 |               1 |
| Helen  | Ice    |       4 |   2019 |    30 |           106 |           106 |           106 |           106 |               1 |               1 |
| Emily  | Cherry |      10 |   2017 |    20 |           164 |           164 |           164 |           164 |               1 |               1 |
| Helen  | Ice    |       7 |   2017 |    11 |           496 |           496 |           496 |           496 |               1 |               1 |
| Helen  | Cherry |       7 |   2016 |     1 |           594 |           594 |           594 |           594 |               1 |               1 |
| Dan    | Jelly  |      10 |   2018 |    16 |           412 |           412 |           412 |           412 |               1 |               1 |
| Dan    | Grapes |       5 |   2018 |    12 |           937 |           937 |           937 |           937 |               1 |               1 |
| Sam    | Apple  |       3 |   2016 |    24 |           835 |           835 |           835 |           835 |               1 |               1 |
| Sam    | Dates  |       1 |   2020 |    17 |            93 |            93 |            93 |            93 |               1 |               1 |
| Chae   | Butter |      10 |   2017 |     7 |            80 |            80 |            80 |            80 |               1 |               1 |
| Helen  | Cherry |       8 |   2018 |    13 |           196 |           196 |           196 |           196 |               1 |               1 |
| Claire | Cherry |       2 |   2016 |     6 |            91 |            91 |            91 |            91 |               1 |               1 |
| Boo    | Ham    |       5 |   2017 |    28 |           629 |           629 |           629 |           629 |               1 |               1 |
| Sam    | Ham    |       4 |   2020 |    10 |           807 |           807 |           807 |           807 |               1 |               1 |
| Chae   | Grapes |       3 |   2020 |    22 |           566 |           566 |           566 |           566 |               1 |               1 |
| Emily  | Ham    |       6 |   2018 |    25 |           172 |           172 |           172 |           172 |               1 |               1 |
| Mia    | Ice    |       9 |   2017 |    16 |           308 |           308 |           308 |           308 |               1 |               1 |
| Claire | Cherry |       6 |   2019 |    10 |           691 |           691 |           691 |           691 |               1 |               1 |
| Mia    | Ham    |       3 |   2020 |    27 |           908 |           908 |           908 |           908 |               1 |               1 |
| Sam    | Ham    |       3 |   2020 |    13 |           905 |           905 |           905 |           905 |               1 |               1 |
| Boo    | Butter |       8 |   2016 |    26 |            20 |            20 |            20 |            20 |               1 |               1 |
| Chae   | Dates  |      12 |   2019 |     5 |            25 |            25 |            25 |            25 |               1 |               1 |
| Sam    | Ice    |       9 |   2016 |    15 |            16 |            16 |            16 |            16 |               1 |               1 |
| Claire | Ham    |      11 |   2016 |    20 |           939 |           939 |           939 |           939 |               1 |               1 |
| Mia    | Jelly  |      10 |   2019 |     6 |           460 |           460 |           460 |           460 |               1 |               1 |
| Chae   | Grapes |       1 |   2018 |     6 |           723 |           723 |           723 |           723 |               1 |               1 |
| Emily  | Apple  |      11 |   2020 |    26 |           212 |           212 |           212 |           212 |               1 |               1 |
| Wally  | Butter |       6 |   2018 |    29 |           837 |           837 |           837 |           837 |               1 |               1 |
| Helen  | Fish   |       4 |   2016 |     9 |            36 |            36 |            36 |            36 |               1 |               1 |
| Boo    | Fish   |      10 |   2020 |     8 |           609 |           609 |           609 |           609 |               1 |               1 |
| Claire | Eggs   |       6 |   2019 |    29 |           887 |           887 |           887 |           887 |               1 |               1 |
| Chae   | Apple  |       6 |   2017 |    24 |           362 |           362 |           362 |           362 |               1 |               1 |
| Chae   | Butter |       7 |   2018 |    16 |           773 |           773 |           773 |           773 |               1 |               1 |
| Boo    | Ham    |       2 |   2017 |    13 |           271 |           271 |           271 |           271 |               1 |               1 |
| Emily  | Fish   |       8 |   2017 |    31 |           621 |           621 |           621 |           621 |               1 |               1 |
| Sam    | Jelly  |       8 |   2019 |    15 |           973 |           973 |           973 |           973 |               1 |               1 |
| Claire | Apple  |       8 |   2017 |    25 |           824 |           824 |           824 |           824 |               1 |               1 |
| Helen  | Ice    |      12 |   2016 |    14 |           874 |           874 |           874 |           874 |               1 |               1 |
| Claire | Eggs   |      10 |   2017 |    25 |           785 |           785 |           785 |           785 |               1 |               1 |
| Boo    | Butter |      11 |   2019 |    26 |           804 |           804 |           804 |           804 |               1 |               1 |
| Emily  | Ice    |      10 |   2019 |    22 |           773 |           773 |           773 |           773 |               1 |               1 |
| Chae   | Ham    |       2 |   2020 |     1 |           959 |           959 |           959 |           959 |               1 |               1 |
| Wally  | Eggs   |      10 |   2018 |    31 |           979 |           979 |           979 |           979 |               1 |               1 |
| Sam    | Apple  |      10 |   2019 |     3 |            86 |            86 |            86 |            86 |               1 |               1 |
| Wally  | Grapes |      12 |   2016 |     5 |           405 |           405 |           405 |           405 |               1 |               1 |
| Emily  | Fish   |      11 |   2020 |    28 |           720 |           720 |           720 |           720 |               1 |               1 |
| Boo    | Cherry |      11 |   2017 |    19 |           929 |           929 |           929 |           929 |               1 |               1 |
| Claire | Apple  |       4 |   2019 |     9 |            95 |            95 |            95 |            95 |               1 |               1 |
| Helen  | Ham    |      10 |   2019 |    21 |           668 |           649 |           668 |           649 |               2 |               2 |
| Dan    | Dates  |       2 |   2019 |     3 |           957 |           957 |           957 |           957 |               1 |               1 |
| Dan    | Dates  |       6 |   2019 |    17 |           905 |           905 |           905 |           905 |               1 |               1 |
| Helen  | Dates  |       3 |   2016 |     4 |           186 |           186 |           186 |           186 |               1 |               1 |
| Sam    | Apple  |       3 |   2016 |    16 |           758 |           758 |           758 |           758 |               1 |               1 |
| Claire | Ham    |       3 |   2019 |    27 |           257 |           257 |           257 |           257 |               1 |               1 |
| Mia    | Ice    |       4 |   2020 |    29 |           750 |           750 |           750 |           750 |               1 |               1 |
| Helen  | Grapes |      11 |   2016 |    13 |           232 |           232 |           232 |           232 |               1 |               1 |
| Claire | Cherry |       9 |   2017 |    30 |           864 |           864 |           864 |           864 |               1 |               1 |
| Boo    | Apple  |       4 |   2016 |     3 |           103 |           103 |           103 |           103 |               1 |               1 |
| Emily  | Eggs   |      12 |   2016 |    30 |           766 |           766 |           766 |           766 |               1 |               1 |
| Claire | Eggs   |       8 |   2016 |    14 |           145 |           145 |           145 |           145 |               1 |               1 |
| Sam    | Jelly  |      10 |   2020 |    20 |           386 |           386 |           386 |           386 |               1 |               1 |
| Sam    | Jelly  |       6 |   2020 |    22 |           338 |           338 |           338 |           338 |               1 |               1 |
| Mia    | Grapes |       3 |   2017 |    27 |           322 |           322 |           322 |           322 |               1 |               1 |
| Wally  | Grapes |      12 |   2020 |    21 |           964 |           964 |           964 |           964 |               1 |               1 |
| Sam    | Apple  |       9 |   2019 |    11 |           608 |           608 |           608 |           608 |               1 |               1 |
| Dan    | Ham    |       8 |   2018 |    13 |           322 |           322 |           322 |           322 |               1 |               1 |
| Emily  | Ice    |       8 |   2016 |    30 |           152 |           152 |           152 |           152 |               1 |               1 |
| Wally  | Fish   |       7 |   2019 |    20 |           195 |           195 |           195 |           195 |               1 |               1 |
| Claire | Apple  |      10 |   2016 |    11 |           705 |           705 |           705 |           705 |               1 |               1 |
| Claire | Butter |      12 |   2020 |    19 |           832 |           736 |           832 |           736 |               2 |               2 |
| Emily  | Ice    |       4 |   2019 |    29 |           413 |           413 |           413 |           413 |               1 |               1 |
| Dan    | Grapes |      10 |   2016 |     6 |           679 |           679 |           679 |           679 |               1 |               1 |
| Boo    | Butter |       3 |   2016 |     4 |           529 |           529 |           529 |           529 |               1 |               1 |
| Boo    | Grapes |      12 |   2020 |    18 |             1 |             1 |             1 |             1 |               1 |               1 |
| Chae   | Apple  |       1 |   2018 |    26 |           427 |           427 |           427 |           427 |               1 |               1 |
| Wally  | Apple  |       4 |   2017 |     8 |           953 |           953 |           953 |           953 |               1 |               1 |
| Emily  | Ice    |       5 |   2017 |    25 |           448 |           448 |           448 |           448 |               1 |               1 |
| Emily  | Jelly  |      12 |   2019 |    26 |           651 |           651 |           651 |           651 |               1 |               1 |
| Mia    | Butter |       1 |   2020 |    19 |           305 |           305 |           305 |           305 |               1 |               1 |
| Chae   | Apple  |       7 |   2018 |    11 |           724 |           724 |           724 |           724 |               1 |               1 |
| Chae   | Ice    |       3 |   2019 |    30 |           936 |           936 |           936 |           936 |               1 |               1 |
| Chae   | Eggs   |      10 |   2020 |    23 |           987 |           987 |           987 |           987 |               1 |               1 |
| Claire | Jelly  |       9 |   2020 |    28 |           287 |           287 |           287 |           287 |               1 |               1 |
| Boo    | Jelly  |       3 |   2018 |    23 |           699 |           699 |           699 |           699 |               1 |               1 |
| Claire | Ham    |       4 |   2019 |    23 |            78 |            78 |            78 |            78 |               1 |               1 |
| Mia    | Ice    |       7 |   2016 |     9 |           156 |           156 |           156 |           156 |               1 |               1 |
| Mia    | Apple  |      12 |   2017 |    30 |           786 |           786 |           786 |           786 |               1 |               1 |
| Wally  | Ice    |       5 |   2016 |    25 |           790 |           790 |           790 |           790 |               1 |               1 |
| Boo    | Eggs   |      12 |   2016 |    11 |          1074 |           946 |          1074 |           946 |               2 |               2 |
| Claire | Ham    |       7 |   2018 |    24 |            47 |            47 |            47 |            47 |               1 |               1 |
| Claire | Ham    |       2 |   2016 |     9 |            21 |            21 |            21 |            21 |               1 |               1 |
| Mia    | Ham    |       3 |   2020 |    24 |           945 |           945 |           945 |           945 |               1 |               1 |
| Helen  | Ice    |       7 |   2018 |    23 |            38 |            38 |            38 |            38 |               1 |               1 |
| Chae   | Dates  |       7 |   2019 |    26 |           314 |           314 |           314 |           314 |               1 |               1 |
| Helen  | Ice    |       3 |   2016 |    15 |            42 |            42 |            42 |            42 |               1 |               1 |
| Claire | Ham    |       4 |   2020 |    26 |            22 |            22 |            22 |            22 |               1 |               1 |
| Mia    | Jelly  |      11 |   2019 |    18 |           852 |           852 |           852 |           852 |               1 |               1 |
| Wally  | Dates  |       8 |   2017 |    12 |           336 |           336 |           336 |           336 |               1 |               1 |
| Emily  | Butter |       8 |   2017 |    26 |           676 |           676 |           676 |           676 |               1 |               1 |
| Boo    | Grapes |      10 |   2017 |    28 |           990 |           751 |           990 |           751 |               2 |               2 |
| Boo    | Eggs   |       4 |   2018 |     6 |           769 |           769 |           769 |           769 |               1 |               1 |
| Mia    | Apple  |       7 |   2018 |    21 |            32 |            32 |            32 |            32 |               1 |               1 |
| Dan    | Ice    |       6 |   2017 |    15 |            54 |            54 |            54 |            54 |               1 |               1 |
| Helen  | Eggs   |      10 |   2018 |    10 |           841 |           841 |           841 |           841 |               1 |               1 |
| Sam    | Jelly  |       1 |   2020 |    26 |           333 |           333 |           333 |           333 |               1 |               1 |
| Helen  | Cherry |       1 |   2018 |     8 |           979 |           979 |           979 |           979 |               1 |               1 |
| Sam    | Cherry |      10 |   2019 |    18 |           295 |           295 |           295 |           295 |               1 |               1 |
| Mia    | Cherry |       9 |   2016 |    27 |           251 |           251 |           251 |           251 |               1 |               1 |
| Wally  | Apple  |       8 |   2018 |    22 |           792 |           792 |           792 |           792 |               1 |               1 |
| Sam    | Cherry |       6 |   2016 |     6 |           624 |           624 |           624 |           624 |               1 |               1 |
| Chae   | Dates  |       3 |   2016 |    30 |           713 |           713 |           713 |           713 |               1 |               1 |
| Mia    | Grapes |       5 |   2020 |    21 |           578 |           578 |           578 |           578 |               1 |               1 |
| Boo    | Jelly  |       1 |   2019 |     9 |           249 |           249 |           249 |           249 |               1 |               1 |
| Claire | Eggs   |       1 |   2017 |    14 |           590 |           590 |           590 |           590 |               1 |               1 |
| Sam    | Eggs   |       2 |   2018 |    15 |            50 |            50 |            50 |            50 |               1 |               1 |
| Wally  | Jelly  |      12 |   2018 |    24 |           641 |           641 |           641 |           641 |               1 |               1 |
| Wally  | Ice    |       9 |   2017 |    13 |           434 |           434 |           434 |           434 |               1 |               1 |
| Chae   | Jelly  |       4 |   2016 |     4 |            80 |            80 |            80 |            80 |               1 |               1 |
| Chae   | Eggs   |       3 |   2017 |     2 |           734 |           490 |           734 |           490 |               2 |               2 |
| Emily  | Eggs   |      11 |   2019 |     9 |           445 |           445 |           445 |           445 |               1 |               1 |
| Mia    | Jelly  |       2 |   2019 |    27 |           649 |           649 |           649 |           649 |               1 |               1 |
| Sam    | Jelly  |      10 |   2018 |    16 |           872 |           872 |           872 |           872 |               1 |               1 |
| Dan    | Eggs   |      11 |   2017 |     5 |           193 |           193 |           193 |           193 |               1 |               1 |
| Claire | Cherry |      11 |   2020 |    10 |           997 |           997 |           997 |           997 |               1 |               1 |
| Boo    | Cherry |       6 |   2017 |    11 |           287 |           287 |           287 |           287 |               1 |               1 |
| Chae   | Cherry |      10 |   2020 |    19 |           795 |           795 |           795 |           795 |               1 |               1 |
| Mia    | Eggs   |       1 |   2016 |     3 |           452 |           452 |           452 |           452 |               1 |               1 |
| Boo    | Ice    |      11 |   2016 |    10 |           338 |           338 |           338 |           338 |               1 |               1 |
| Sam    | Jelly  |      10 |   2020 |    29 |           888 |           888 |           888 |           888 |               1 |               1 |
| Boo    | Fish   |       5 |   2018 |    25 |           107 |           107 |           107 |           107 |               1 |               1 |
| Claire | Grapes |       5 |   2017 |    15 |           434 |           434 |           434 |           434 |               1 |               1 |
| Claire | Ice    |       5 |   2016 |    30 |           823 |           823 |           823 |           823 |               1 |               1 |
| Helen  | Apple  |       8 |   2018 |    22 |           975 |           975 |           975 |           975 |               1 |               1 |
| Boo    | Jelly  |       2 |   2020 |    24 |           784 |           784 |           784 |           784 |               1 |               1 |
| Sam    | Fish   |       3 |   2016 |    26 |           221 |           221 |           221 |           221 |               1 |               1 |
| Mia    | Ice    |      12 |   2017 |     8 |           887 |           887 |           887 |           887 |               1 |               1 |
| Helen  | Jelly  |       9 |   2020 |     9 |           869 |           869 |           869 |           869 |               1 |               1 |
| Sam    | Ice    |       1 |   2017 |    27 |           567 |           567 |           567 |           567 |               1 |               1 |
| Claire | Ice    |       9 |   2017 |     9 |           345 |           345 |           345 |           345 |               1 |               1 |
| Sam    | Dates  |       9 |   2016 |    22 |           479 |           479 |           479 |           479 |               1 |               1 |
| Mia    | Dates  |       2 |   2020 |    16 |           155 |           155 |           155 |           155 |               1 |               1 |
| Boo    | Ham    |       5 |   2016 |    28 |           102 |           102 |           102 |           102 |               1 |               1 |
| Emily  | Ham    |       9 |   2017 |    18 |           365 |           365 |           365 |           365 |               1 |               1 |
| Wally  | Eggs   |       3 |   2016 |     9 |           746 |           746 |           746 |           746 |               1 |               1 |
| Emily  | Ice    |       6 |   2016 |     2 |           116 |           116 |           116 |           116 |               1 |               1 |
| Claire | Fish   |       3 |   2018 |    25 |            40 |            40 |            40 |            40 |               1 |               1 |
| Chae   | Jelly  |       7 |   2016 |    12 |           575 |           575 |           575 |           575 |               1 |               1 |
| Claire | Cherry |       8 |   2018 |    30 |           106 |           106 |           106 |           106 |               1 |               1 |
| Helen  | Jelly  |       7 |   2020 |    17 |           852 |           852 |           852 |           852 |               1 |               1 |
| Sam    | Jelly  |       5 |   2019 |     9 |           956 |           956 |           956 |           956 |               1 |               1 |
| Mia    | Apple  |       2 |   2017 |     3 |           780 |           780 |           780 |           780 |               1 |               1 |
| Chae   | Grapes |       3 |   2016 |     5 |           625 |           625 |           625 |           625 |               1 |               1 |
| Mia    | Jelly  |       9 |   2018 |     5 |            84 |            84 |            84 |            84 |               1 |               1 |
| Chae   | Ice    |       1 |   2017 |     5 |           957 |           957 |           957 |           957 |               1 |               1 |
| Emily  | Fish   |       1 |   2017 |    14 |            40 |            40 |            40 |            40 |               1 |               1 |
| Dan    | Butter |      11 |   2020 |    20 |           602 |           602 |           602 |           602 |               1 |               1 |
| Claire | Grapes |       2 |   2019 |    28 |           235 |           235 |           235 |           235 |               1 |               1 |
| Emily  | Ice    |      10 |   2016 |    21 |           769 |           769 |           769 |           769 |               1 |               1 |
| Chae   | Jelly  |       5 |   2020 |    29 |           131 |           131 |           131 |           131 |               1 |               1 |
| Sam    | Butter |       6 |   2016 |     9 |           959 |           594 |           959 |           594 |               2 |               2 |
| Claire | Ice    |       3 |   2018 |    24 |           689 |           689 |           689 |           689 |               1 |               1 |
| Dan    | Dates  |       8 |   2020 |    13 |             1 |             1 |             1 |             1 |               1 |               1 |
| Wally  | Butter |      12 |   2016 |    22 |           263 |           263 |           263 |           263 |               1 |               1 |
| Claire | Cherry |      11 |   2020 |     4 |          1077 |           983 |          1077 |           983 |               2 |               2 |
| Dan    | Ice    |      12 |   2018 |    14 |           276 |           276 |           276 |           276 |               1 |               1 |
| Dan    | Butter |       3 |   2017 |    26 |           974 |           974 |           974 |           974 |               1 |               1 |
| Sam    | Fish   |      10 |   2017 |    23 |           353 |           353 |           353 |           353 |               1 |               1 |
| Boo    | Cherry |       1 |   2017 |    19 |           145 |           145 |           145 |           145 |               1 |               1 |
| Chae   | Grapes |       5 |   2018 |    29 |           725 |           725 |           725 |           725 |               1 |               1 |
| Boo    | Ham    |       9 |   2020 |    16 |           678 |           678 |           678 |           678 |               1 |               1 |
| Mia    | Fish   |      11 |   2019 |    24 |            67 |            67 |            67 |            67 |               1 |               1 |
| Boo    | Eggs   |       3 |   2018 |    11 |           867 |           867 |           867 |           867 |               1 |               1 |
| Claire | Apple  |       8 |   2020 |     7 |           199 |           199 |           199 |           199 |               1 |               1 |
| Helen  | Butter |       4 |   2016 |    26 |           836 |           630 |           836 |           630 |               2 |               2 |
| Wally  | Butter |      11 |   2016 |    19 |           876 |           876 |           876 |           876 |               1 |               1 |
| Wally  | Butter |      12 |   2016 |    10 |           136 |           136 |           136 |           136 |               1 |               1 |
| Emily  | Fish   |       9 |   2017 |    21 |           630 |           630 |           630 |           630 |               1 |               1 |
| Dan    | Butter |      10 |   2019 |    14 |           580 |           580 |           580 |           580 |               1 |               1 |
| Sam    | Fish   |       1 |   2018 |    13 |           930 |           930 |           930 |           930 |               1 |               1 |
| Emily  | Ice    |      12 |   2017 |    26 |           952 |           952 |           952 |           952 |               1 |               1 |
| Wally  | Ice    |       2 |   2018 |    19 |           923 |           923 |           923 |           923 |               1 |               1 |
| Chae   | Dates  |       9 |   2018 |    25 |           920 |           920 |           920 |           920 |               1 |               1 |
| Emily  | Cherry |       2 |   2020 |    23 |             6 |             6 |             6 |             6 |               1 |               1 |
| Claire | Grapes |      12 |   2020 |    13 |           842 |           842 |           842 |           842 |               1 |               1 |
| Helen  | Ham    |      12 |   2019 |    26 |           521 |           521 |           521 |           521 |               1 |               1 |
| Boo    | Butter |       6 |   2017 |    28 |           919 |           919 |           919 |           919 |               1 |               1 |
| Sam    | Fish   |       1 |   2017 |     8 |           544 |           544 |           544 |           544 |               1 |               1 |
| Helen  | Cherry |       3 |   2020 |    20 |           138 |           138 |           138 |           138 |               1 |               1 |
| Mia    | Dates  |       2 |   2019 |    17 |           398 |           398 |           398 |           398 |               1 |               1 |
| Claire | Apple  |       9 |   2017 |    24 |           420 |           420 |           420 |           420 |               1 |               1 |
| Claire | Grapes |       3 |   2018 |     6 |           630 |           630 |           630 |           630 |               1 |               1 |
| Wally  | Dates  |      10 |   2017 |    13 |           608 |           608 |           608 |           608 |               1 |               1 |
| Dan    | Butter |      10 |   2018 |    13 |            92 |            92 |            92 |            92 |               1 |               1 |
| Mia    | Grapes |       9 |   2018 |    15 |           424 |           424 |           424 |           424 |               1 |               1 |
| Sam    | Grapes |       7 |   2020 |    19 |           695 |           695 |           695 |           695 |               1 |               1 |
| Mia    | Fish   |       9 |   2016 |     9 |           937 |           937 |           937 |           937 |               1 |               1 |
| Claire | Jelly  |       5 |   2019 |    21 |           913 |           913 |           913 |           913 |               1 |               1 |
| Mia    | Apple  |       6 |   2017 |     4 |           931 |           931 |           931 |           931 |               1 |               1 |
| Emily  | Apple  |       7 |   2016 |     7 |           549 |           549 |           549 |           549 |               1 |               1 |
| Emily  | Ham    |       4 |   2020 |    11 |           952 |           952 |           952 |           952 |               1 |               1 |
| Emily  | Ham    |      11 |   2019 |    11 |           511 |           511 |           511 |           511 |               1 |               1 |
| Boo    | Cherry |       7 |   2019 |     4 |           858 |           858 |           858 |           858 |               1 |               1 |
| Helen  | Jelly  |       3 |   2020 |     7 |           938 |           938 |           938 |           938 |               1 |               1 |
| Emily  | Jelly  |       5 |   2016 |     1 |            49 |            49 |            49 |            49 |               1 |               1 |
| Mia    | Jelly  |       4 |   2020 |     9 |           398 |           398 |           398 |           398 |               1 |               1 |
| Chae   | Dates  |       8 |   2019 |     1 |           192 |           192 |           192 |           192 |               1 |               1 |
| Helen  | Fish   |       9 |   2017 |    24 |           886 |           886 |           886 |           886 |               1 |               1 |
| Boo    | Ice    |      10 |   2017 |     9 |           717 |           717 |           717 |           717 |               1 |               1 |
| Chae   | Fish   |       6 |   2017 |    12 |           777 |           777 |           777 |           777 |               1 |               1 |
| Sam    | Fish   |       8 |   2018 |     9 |           282 |           282 |           282 |           282 |               1 |               1 |
| Dan    | Cherry |       6 |   2016 |    16 |           821 |           821 |           821 |           821 |               1 |               1 |
| Emily  | Dates  |       3 |   2016 |     7 |           400 |           400 |           400 |           400 |               1 |               1 |
| Helen  | Butter |       7 |   2020 |    23 |           400 |           400 |           400 |           400 |               1 |               1 |
| Wally  | Ham    |       9 |   2017 |    10 |           449 |           449 |           449 |           449 |               1 |               1 |
| Sam    | Ham    |       8 |   2018 |    24 |           296 |           296 |           296 |           296 |               1 |               1 |
| Dan    | Apple  |       5 |   2019 |    29 |           120 |           120 |           120 |           120 |               1 |               1 |
| Boo    | Grapes |       4 |   2019 |    21 |           377 |           377 |           377 |           377 |               1 |               1 |
| Wally  | Butter |       9 |   2020 |     2 |            29 |            29 |            29 |            29 |               1 |               1 |
| Dan    | Jelly  |       7 |   2019 |    17 |          1111 |           744 |          1111 |           744 |               2 |               2 |
| Sam    | Eggs   |       5 |   2020 |    17 |           818 |           818 |           818 |           818 |               1 |               1 |
| Helen  | Eggs   |       9 |   2016 |    27 |            30 |            30 |            30 |            30 |               1 |               1 |
| Chae   | Cherry |       8 |   2017 |    13 |           555 |           555 |           555 |           555 |               1 |               1 |
| Claire | Ham    |       4 |   2016 |    27 |           935 |           935 |           935 |           935 |               1 |               1 |
| Boo    | Fish   |      12 |   2017 |     3 |            39 |            39 |            39 |            39 |               1 |               1 |
| Sam    | Grapes |       1 |   2019 |    11 |           512 |           512 |           512 |           512 |               1 |               1 |
| Sam    | Apple  |       3 |   2018 |     4 |           628 |           628 |           628 |           628 |               1 |               1 |
| Claire | Ham    |       9 |   2018 |    23 |           325 |           325 |           325 |           325 |               1 |               1 |
| Boo    | Eggs   |      10 |   2018 |    18 |           270 |           270 |           270 |           270 |               1 |               1 |
| Boo    | Cherry |       9 |   2017 |    15 |           600 |           600 |           600 |           600 |               1 |               1 |
| Chae   | Ham    |      10 |   2017 |    12 |           774 |           774 |           774 |           774 |               1 |               1 |
| Emily  | Butter |       3 |   2017 |    26 |            41 |            41 |            41 |            41 |               1 |               1 |
| Claire | Dates  |       7 |   2016 |    28 |           958 |           958 |           958 |           958 |               1 |               1 |
| Boo    | Ice    |      10 |   2018 |    30 |           490 |           490 |           490 |           490 |               1 |               1 |
| Wally  | Grapes |       1 |   2017 |    10 |            85 |            85 |            85 |            85 |               1 |               1 |
| Boo    | Butter |      11 |   2020 |    29 |            46 |            46 |            46 |            46 |               1 |               1 |
| Sam    | Apple  |       6 |   2019 |    29 |           924 |           924 |           924 |           924 |               1 |               1 |
| Boo    | Dates  |       7 |   2016 |    31 |           762 |           762 |           762 |           762 |               1 |               1 |
| Boo    | Eggs   |      12 |   2018 |    17 |           990 |           990 |           990 |           990 |               1 |               1 |
| Claire | Ham    |      12 |   2018 |    26 |           870 |           870 |           870 |           870 |               1 |               1 |
| Dan    | Ham    |       4 |   2018 |    10 |           512 |           512 |           512 |           512 |               1 |               1 |
| Claire | Butter |       3 |   2019 |     9 |           565 |           565 |           565 |           565 |               1 |               1 |
| Dan    | Fish   |       3 |   2019 |    25 |             2 |             2 |             2 |             2 |               1 |               1 |
| Mia    | Fish   |       4 |   2019 |    12 |           902 |           902 |           902 |           902 |               1 |               1 |
| Claire | Dates  |       3 |   2019 |    10 |            56 |            56 |            56 |            56 |               1 |               1 |
| Sam    | Grapes |      10 |   2017 |    12 |            33 |            33 |            33 |            33 |               1 |               1 |
| Chae   | Cherry |       1 |   2016 |    11 |           436 |           436 |           436 |           436 |               1 |               1 |
| Chae   | Butter |       3 |   2019 |    22 |           375 |           375 |           375 |           375 |               1 |               1 |
| Helen  | Eggs   |       1 |   2016 |    20 |           297 |           297 |           297 |           297 |               1 |               1 |
| Claire | Apple  |       6 |   2018 |     3 |           420 |           420 |           420 |           420 |               1 |               1 |
| Wally  | Eggs   |      11 |   2016 |    12 |           796 |           796 |           796 |           796 |               1 |               1 |
| Wally  | Butter |       1 |   2019 |     6 |           237 |           237 |           237 |           237 |               1 |               1 |
| Claire | Apple  |       9 |   2018 |    24 |           740 |           740 |           740 |           740 |               1 |               1 |
| Claire | Butter |       6 |   2020 |    15 |           298 |           237 |           298 |           237 |               2 |               2 |
| Chae   | Ice    |      10 |   2017 |    17 |           908 |           908 |           908 |           908 |               1 |               1 |
| Mia    | Dates  |      11 |   2018 |    13 |           176 |           176 |           176 |           176 |               1 |               1 |
| Sam    | Butter |       8 |   2020 |     1 |           325 |           325 |           325 |           325 |               1 |               1 |
| Chae   | Dates  |       7 |   2017 |     9 |           470 |           470 |           470 |           470 |               1 |               1 |
| Boo    | Butter |       4 |   2018 |     3 |           842 |           453 |           842 |           453 |               2 |               2 |
| Wally  | Ice    |       2 |   2018 |     9 |           886 |           886 |           886 |           886 |               1 |               1 |
| Dan    | Butter |       4 |   2019 |    16 |           205 |           205 |           205 |           205 |               1 |               1 |
| Mia    | Fish   |      12 |   2017 |    23 |           901 |           901 |           901 |           901 |               1 |               1 |
| Emily  | Fish   |       2 |   2020 |    17 |           288 |           233 |           288 |           233 |               2 |               2 |
| Emily  | Grapes |       2 |   2018 |    12 |           243 |           243 |           243 |           243 |               1 |               1 |
| Emily  | Eggs   |       6 |   2017 |    16 |           187 |           187 |           187 |           187 |               1 |               1 |
| Mia    | Eggs   |      10 |   2017 |     7 |           490 |           490 |           490 |           490 |               1 |               1 |
| Claire | Fish   |       2 |   2018 |    10 |           967 |           967 |           967 |           967 |               1 |               1 |
| Sam    | Apple  |       5 |   2016 |     3 |           705 |           705 |           705 |           705 |               1 |               1 |
| Dan    | Butter |       7 |   2019 |    15 |           842 |           842 |           842 |           842 |               1 |               1 |
| Boo    | Cherry |       4 |   2019 |    18 |             9 |             9 |             9 |             9 |               1 |               1 |
| Boo    | Dates  |       4 |   2016 |    22 |           402 |           402 |           402 |           402 |               1 |               1 |
| Sam    | Cherry |       2 |   2020 |    17 |           119 |           119 |           119 |           119 |               1 |               1 |
| Boo    | Dates  |      11 |   2016 |     4 |           394 |           394 |           394 |           394 |               1 |               1 |
| Boo    | Eggs   |      11 |   2017 |     8 |           798 |           798 |           798 |           798 |               1 |               1 |
| Boo    | Apple  |       4 |   2020 |     2 |           979 |           979 |           979 |           979 |               1 |               1 |
| Emily  | Ice    |       1 |   2019 |     5 |           378 |           378 |           378 |           378 |               1 |               1 |
| Wally  | Butter |       6 |   2016 |     8 |           154 |           154 |           154 |           154 |               1 |               1 |
